STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文 (zh_CN),TRADITIONAL CHINESE / 繁体中文 (zh-TW),KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,MALAY / BAHASA MALAYSIA,INDONESIAN / BAHASA INDONESIA, العَرَبِيةُ / ARABIC
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,msMS,idID,arSA
LANGUAGE_EN,[LanguageName] in english,English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Malay,Indonesian,Arabic
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,ltr,ltr,rtl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_DEVICE_NOT_FOUND,LeapMotion Oculus Touch etc. Use [device] in English so it can be changed by code,No [device] detected,Aucun [device] détecté.,No se detectó [device],[device] nicht erkannt,Nessun [dispositivo] trovato,[device] não encontrado,O dispositivo [device] não foi detectado.,[device] не обнаружен,Δεν εντοπίστηκε [device],[device] aygıt algılanamadı.,Ingen [device] fundet.,Ingen [device] funnet.,[device] kunde inte hittas.,Geen [apparaat] gevonden.,Nie wykryto [device],[device] ei havaittu,[device] が接続されていません,未检测到[device],未檢測到[device],[device]을(를) 찾을 수 없습니다.,Zařízení [device] nenalezeno,[device] nem található,Nu s-a detectat niciun [device],ตรวจไม่พบอุปกรณ์ [device],Няма засечен [device].,לא נמצא רכיב [device],,,
ERROR_DEVICE_VR_LEAVING_TRACKAREA,,Leaving tracking area,Vous quittez la zone de détection.,Saliendo del area de seguimiento,Außerhalb des Tracking-Bereichs,Lasciando la zona di tracciamento,Deixando área de rastreamento,À deixar área de rastreamento,За пределами зоны отслеживания,Απομάκρυνση από την περιοχή καταγραφής,Takip alanı terkediliyor.,Forlader sporingsområdet,Forlater sporingsområdet,Lämnar spårningsområde,Het zoekgebied wordt verlaten,Opuszczanie strefy śledzenia,Poistut seuranta-alueelta,通信圏外です,无信号,無信號,인식 범위 밖입니다.,Opouštíte trackovací zónu,Elhagyod az érzékelési területet.,Se părăsește zona de urmărire,ออกจากพื้นที่ติดตาม,Напускате следената площ,יציאה מגבולות מפוקחים,,,
ERROR_DEVICE_VR_NO_HMD,"Using abbrev. ""HMD"" (Head Mounted Display)",No HMD detected,Aucun HDM détecté.,No se detectó ningún HMD,Kein HMD erkannt,HMD non rilevato,HMD não encontrado,HMD não detectado.,VR-шлем не обнаружен,Δεν εντοπίστηκε HMD,Görüş Ünitesi algılanamadı.,Intet HMD detekteret.,Ingen HMD funnet.,Ingen VR-hjälm funnen,Geen HMD gedetecteerd.,Nie wykryto HMD,HMD ei havaittu,HMDが接続されていません,未检测到HMD,未檢測到HMD,HMD를 찾을 수 없습니다.,HMD nenalezeno,HMD nem található,Nu s-a detectat niciun HMD,ตรวจไม่พบหน่วยแสดงผลสวมศีรษะ,Няма засечен HMD.,HMD לא נמצא,,,
ERROR_GENERIC_ERRCODE,,Error code:,Code d'erreur :,Código de error:,Fehlercode:,Codice errore:,Código de erro:,Código de erro:,Код ошибки:,Κωδικός σφάλματος:,Hata kodu:,Fejlkode:,Feilkode:,Felkod:,Foutcode:,Kod błędu:,Virhekoodi: ,エラーコード：,错误代码：,錯誤代碼：,오류 코드:,Kód chyby:,Hibakód:,Cod de eroare:,รหัสข้อผิดพลาด,Код на грешката:,טעות מספר:,,,خطأ رقم:
