STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文 (zh_CN),TRADITIONAL CHINESE / 繁体中文 (zh-TW),KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,MALAY / BAHASA MALAYSIA,INDONESIAN / BAHASA INDONESIA, العَرَبِيةُ / ARABIC
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,msMS,idID,arSA
LANGUAGE_EN,[LanguageName] in english,English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Malay,Indonesian,Arabic
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,ltr,ltr,rtl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,[gender problems] We are working on an expansion pack which will be free of gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDITS_GAME,,Game,Jeu,Juego,Spiel,Gioco,Jogo,Jogo,Игра,Παιχνίδι,Oyun,Spil,Spill,Spel,Spel,Gra,Peli,ゲーム,游戏,游戲,게임,Hra,Játék,Joc,เกม,Игра,משחק,,,
CREDITS_GAME_DEVELOPMENT,,Game development,Développement de jeu,Desarrollo de juegos,Spielentwicklung,Sviluppo del gioco,Desenvolvimento do jogo,Desenvolvimento de jogo,Разработка игры,Δημιουργία παιχνιδιού,Oyun Geliştirme,Spiludvikling,Spillutvikeling,Spelutveckling,Spelontwikkeling,Tworzenie gry,Pelinkehitys,ゲーム開発,游戏开发 ,游戲開發,게임 개발,Vyvíjení hry,Játékfejlesztés,Dezvoltarea jocului,การพัฒนาเกม,Разработка,פיתוח משחק,,,
CREDITS_GAME_DEVELOPER,[Default male],Game developer,Développeur de jeu,Desarrollador de juegos,Spielentwickler,Sviluppatore del gioco,Desenvolvedor de jogo,Desenvolvedor de jogo,Игровой разработчик,Δημιουργός παιχνιδιού,Oyun Geliştirici,Spiludvikler,Spillutvikler,Spelutvecklare,Spelontwikkelaar,Twórca gry,Pelinkehittäjä,ゲーム開発者,游戏开发者  ,遊戲開發者,게임 개발자,Vývojář,Játékfejlesztő,Dezvoltatorul jocului,นักพัฒนาเกม,Разработчик,מפתח המשחק,,,
CREDITS_DEVELOPED_BY,,Developed by,Développé par,Desarrollado por,Entwickelt von,Sviluppato da,Desenvolvido por,Desenvolvido por,Разработано,Φτιάχτηκε από:,Geliştiren,Udviklet af,Utviklet av,Utvecklat av,Ontwikkeld door,Stworzono przez,Kehittäjä,開発,游戏开发由  ,游戲開發由,개발자,Vytvořeno ,Készítette,Dezvoltat de către,พัฒนาโดย,Разработка на,פותח על-ידי,,,
CREDITS_PRODUCTION,,Production,Production,Producción,Produktion,Produzione,Produção,Produção,Производство,Παραγωγή:,Prodüksiyon,Produktion,Produksjon,Produktion,Productie,Produkcja,Tuotanto,製作,制作  ,制作,제작,Produkce,Produckció,Producție,ฝ่ายการผลิต,Продукция,הפקה,,,
