STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文 (zh_CN),TRADITIONAL CHINESE / 繁体中文 (zh-TW),KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,MALAY / BAHASA MALAYSIA,INDONESIAN / BAHASA INDONESIA, العَرَبِيةُ / ARABIC
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,msMS,idID,arSA
LANGUAGE_EN,[LanguageName] in english,English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Malay,Indonesian,Arabic
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,ltr,ltr,rtl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME_GENRE_ACTION,,Action game,Jeu d'action,Juego de acción,Action-Spiel,Gioco d'azione,Jogo de ação,Jogo de Acção,Экшен,Action παιχνίδι,Aksiyon oyunu,Actionspil,Actionspill,Action,Actiespel,Gra akcji,Toimintapeli,アクションゲーム,动作游戏,動作游戲,액션 게임,Akční hra,Akciójáték,Joc de acțiune,เกมแอคชั่น,Екшън,משחק אקשן,,Aksi,لعبة أكشن
GAME_GENRE_ADVENTURE,,Adventure game,Jeu d'aventure,Juego de aventura,Adventure,Gioco d'avventura,Jogo de aventura,Jogo de aventura,Приключенческая игра,Adventure παιχνίδι,Macera oyunu,Adventurespil,Eventyrspill,Äventyrspel,Avonturenspel,Gra przygodowa,Seikkailupeli,アドベンチャーゲーム,冒险游戏,冒險游戲,어드벤처 게임,Adventura,Kalandjáték,Joc de aventură,เกมผจญภัย,Приключенска,משחק הרפתקה,,Petualangan,لعبة فيديو مغامرات
GAME_GENRE_CARD,,Card,Carte,Cartas,Karten,Carte,Cartas,Cartas,Карточная игра,Card,Kart,Kort,Kort,Kort,Kaart,Karciane,Kortti,カード,卡牌,卡牌遊戲,카드,Karetní,Kártya,Cărţi,การ์ด,С карти,משחק קלפים,,,
GAME_GENRE_CASUAL,,Casual game,Jeu casual,Juego casual,Casual-Spiel,Gioco casual,Jogo casual,Jogo Casual,Казуальная игра,Casual παιχνίδι,Çerezlik oyun,Casual spil,Casual spill,Casualspel,Casual spel,Gra zwyczajna,Kasuaalipeli,カジュアルゲーム,休闲游戏,休閑游戲,캐주얼 게임,Příležitostná hrá,Könnyed játék,Joc popular,เกมแคชชวล,Лежерна,משחק קז'ואל,,,لعبة عارضة
